Origin,Destination,Perturbed_Time_Hours
9,9,0
9,10,9.72392846308971
9,11,10.701202402237293
9,12,20.96257876328695
9,13,239.6276226475593
10,9,9.62716300545012
10,10,0
10,11,18.18986557819886
10,12,28.63934059399105
10,13,237.24302298122132
11,9,10.46640907657261
11,10,17.96958495148139
11,11,0
11,12,12.13911460763461
11,13,175.77755874288465
12,9,20.652140288810397
12,10,28.498815080799417
12,11,12.227628743828648
12,12,0
12,13,177.05926661675525
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
