scenario,wall_time,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen1,35.00937581062317,0.0,1.0,0.0,0.0,1.0,0.0
scen2,14.258557796478271,1.0,0.0,0.0,0.0,0.0,1.0
scen3,25.50517463684082,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen4,48.041285276412964,1.0,-0.0,1.0,-0.0,-0.0,-0.0
scen5,39.40881085395813,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen6,27.91739249229431,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen7,71.5765483379364,-0.0,1.0,-0.0,-0.0,1.0,0.0
scen8,37.06632709503174,1.0,0.0,0.0,0.0,0.0,1.0
scen9,75.27154970169067,1.0,0.0,1.0,0.0,0.0,0.0
scen10,31.111676454544067,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen11,17.16799259185791,1.0,0.0,0.0,0.0,1.0,0.0
scen12,30.111834287643433,0.0,1.0,-0.0,-0.0,-0.0,1.0
scen13,42.85125231742859,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen14,42.805787324905396,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen15,21.233463287353516,1.0,-0.0,0.0,0.0,-0.0,1.0
scen16,86.41476154327393,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen17,41.353721618652344,1.0,0.0,0.0,0.0,0.0,1.0
scen18,13.78167176246643,0.0,1.0,0.0,0.0,0.0,1.0
scen19,27.048745155334473,-0.0,1.0,0.0,-0.0,1.0,-0.0
scen20,34.961087226867676,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen21,43.397141218185425,-0.0,1.0,-0.0,0.0,-0.0,1.0
scen22,31.533920526504517,1.0,-0.0,0.0,1.0,-0.0,-0.0
scen23,36.940173625946045,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen24,50.244529247283936,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen25,49.20466136932373,1.0,0.0,0.0,0.0,0.0,1.0
scen26,21.263078927993774,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen27,58.150012254714966,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen28,51.762874126434326,1.0,0.0,1.0,0.0,0.0,0.0
scen29,22.44570565223694,1.0,0.0,0.0,0.0,0.0,1.0
scen30,108.58522534370422,0.0,1.0,1.0,0.0,0.0,0.0
scen31,29.07941222190857,-0.0,1.0,0.0,0.0,0.0,1.0
scen32,47.46384024620056,1.0,-0.0,1.0,-0.0,-0.0,-0.0
scen33,48.774474143981934,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen34,18.85540461540222,1.0,-0.0,0.0,0.0,0.0,1.0
scen35,27.80386996269226,1.0,-0.0,0.0,-0.0,1.0,-0.0
scen36,35.91781425476074,1.0,0.0,-0.0,-0.0,-0.0,1.0
scen37,65.88338088989258,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen38,66.8789792060852,0.0,1.0,0.0,-0.0,1.0,-0.0
scen39,22.984046459197998,-0.0,1.0,-0.0,0.0,0.0,1.0
scen40,31.60188341140747,0.0,1.0,0.0,0.0,1.0,0.0
scen41,15.786691427230835,0.0,1.0,0.0,0.0,1.0,0.0
scen42,33.823580503463745,1.0,-0.0,0.0,-0.0,-0.0,1.0
scen43,32.43508839607239,1.0,0.0,0.0,0.0,1.0,0.0
scen44,36.17602896690369,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen45,57.42069339752197,1.0,0.0,-0.0,-0.0,-0.0,1.0
scen46,22.513139963150024,0.0,1.0,-0.0,-0.0,1.0,-0.0
scen47,41.691540002822876,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen48,20.05788254737854,-0.0,1.0,0.0,-0.0,-0.0,1.0
scen49,18.200499296188354,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen50,33.106510639190674,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen51,35.03381133079529,1.0,0.0,0.0,0.0,0.0,1.0
scen52,44.1023645401001,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen53,51.745012044906616,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen54,23.992887496948242,0.0,-0.0,1.0,-0.0,1.0,-0.0
scen55,44.76195001602173,0.0,1.0,0.0,0.0,1.0,0.0
scen56,18.054364442825317,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen57,45.779977798461914,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen58,49.347652435302734,-0.0,-0.0,1.0,0.0,1.0,-0.0
scen59,16.571942567825317,0.0,1.0,0.0,0.0,1.0,0.0
scen60,41.136152505874634,1.0,-0.0,1.0,-0.0,-0.0,-0.0
scen61,62.462867736816406,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen62,33.7704701423645,0.0,1.0,0.0,0.0,1.0,0.0
scen63,16.810871601104736,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen64,69.40989542007446,1.0,0.0,0.0,0.0,1.0,0.0
scen65,48.36520767211914,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen66,32.37198257446289,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen67,14.4908926486969,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen68,58.290203332901,1.0,0.0,0.0,0.0,1.0,0.0
scen69,45.646090269088745,1.0,-0.0,-0.0,-0.0,1.0,-0.0
scen70,12.236133575439453,0.0,1.0,0.0,0.0,0.0,1.0
scen71,34.5194878578186,1.0,0.0,-0.0,-0.0,1.0,-0.0
scen72,30.510648488998413,0.0,1.0,0.0,0.0,0.0,1.0
scen73,14.479480266571045,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen74,71.26786589622498,-0.0,1.0,1.0,-0.0,0.0,-0.0
scen75,48.9102041721344,1.0,0.0,0.0,0.0,0.0,1.0
scen76,31.685644388198853,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen77,39.47789740562439,-0.0,1.0,0.0,0.0,-0.0,1.0
scen78,39.13760852813721,-0.0,1.0,1.0,-0.0,-0.0,0.0
scen79,44.86332392692566,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen80,48.16141486167908,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen81,25.991180181503296,1.0,0.0,0.0,0.0,1.0,0.0
scen82,56.44927406311035,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen83,13.114617109298706,0.0,-0.0,-0.0,1.0,1.0,-0.0
scen84,32.36832880973816,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen85,64.98823547363281,1.0,-0.0,1.0,-0.0,-0.0,-0.0
scen86,105.79073119163513,0.0,0.0,1.0,1.0,0.0,0.0
scen87,24.450488805770874,0.0,1.0,0.0,0.0,0.0,1.0
scen88,43.29020714759827,-0.0,1.0,-0.0,0.0,1.0,-0.0
scen89,50.45614051818848,0.0,0.0,0.0,1.0,1.0,0.0
scen90,34.44277334213257,1.0,-0.0,-0.0,-0.0,1.0,-0.0
scen91,61.17445349693298,1.0,0.0,0.0,0.0,0.0,1.0
scen92,23.230365753173828,0.0,1.0,0.0,0.0,1.0,0.0
scen93,58.29548907279968,-0.0,1.0,0.0,0.0,-0.0,1.0
scen94,45.89192175865173,1.0,-0.0,1.0,-0.0,-0.0,-0.0
scen95,35.84009003639221,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen96,28.043630838394165,0.0,1.0,1.0,0.0,0.0,0.0
scen97,21.39120602607727,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen98,20.642768383026123,0.0,1.0,0.0,0.0,0.0,1.0
scen99,57.666990518569946,-0.0,1.0,0.0,-0.0,-0.0,1.0
