Origin,Destination,Ship,TravelTime
9,9,1,0
9,9,2,0
9,9,3,0
9,9,4,0
9,9,5,0
9,9,6,0
9,9,7,0
9,9,8,0
9,10,1,2
9,10,2,2
9,10,3,2
9,10,4,2
9,10,5,2
9,10,6,2
9,10,7,2
9,10,8,2
9,11,1,2
9,11,2,2
9,11,3,2
9,11,4,2
9,11,5,2
9,11,6,2
9,11,7,2
9,11,8,2
9,12,1,4
9,12,2,4
9,12,3,4
9,12,4,4
9,12,5,4
9,12,6,4
9,12,7,4
9,12,8,4
9,13,1,45
9,13,2,45
9,13,3,45
9,13,4,45
9,13,5,45
9,13,6,45
9,13,7,45
9,13,8,45
10,9,1,2
10,9,2,2
10,9,3,2
10,9,4,2
10,9,5,2
10,9,6,2
10,9,7,2
10,9,8,2
10,10,1,0
10,10,2,0
10,10,3,0
10,10,4,0
10,10,5,0
10,10,6,0
10,10,7,0
10,10,8,0
10,11,1,3
10,11,2,3
10,11,3,3
10,11,4,3
10,11,5,3
10,11,6,3
10,11,7,3
10,11,8,3
10,12,1,5
10,12,2,5
10,12,3,5
10,12,4,5
10,12,5,5
10,12,6,5
10,12,7,5
10,12,8,5
10,13,1,40
10,13,2,40
10,13,3,40
10,13,4,40
10,13,5,40
10,13,6,40
10,13,7,40
10,13,8,40
11,9,1,2
11,9,2,2
11,9,3,2
11,9,4,2
11,9,5,2
11,9,6,2
11,9,7,2
11,9,8,2
11,10,1,3
11,10,2,3
11,10,3,3
11,10,4,3
11,10,5,3
11,10,6,3
11,10,7,3
11,10,8,3
11,11,1,0
11,11,2,0
11,11,3,0
11,11,4,0
11,11,5,0
11,11,6,0
11,11,7,0
11,11,8,0
11,12,1,2
11,12,2,2
11,12,3,2
11,12,4,2
11,12,5,2
11,12,6,2
11,12,7,2
11,12,8,2
11,13,1,31
11,13,2,31
11,13,3,31
11,13,4,31
11,13,5,31
11,13,6,31
11,13,7,31
11,13,8,31
12,9,1,3
12,9,2,3
12,9,3,3
12,9,4,3
12,9,5,3
12,9,6,3
12,9,7,3
12,9,8,3
12,10,1,5
12,10,2,5
12,10,3,5
12,10,4,5
12,10,5,5
12,10,6,5
12,10,7,5
12,10,8,5
12,11,1,2
12,11,2,2
12,11,3,2
12,11,4,2
12,11,5,2
12,11,6,2
12,11,7,2
12,11,8,2
12,12,1,0
12,12,2,0
12,12,3,0
12,12,4,0
12,12,5,0
12,12,6,0
12,12,7,0
12,12,8,0
12,13,1,29
12,13,2,29
12,13,3,29
12,13,4,29
12,13,5,29
12,13,6,29
12,13,7,29
12,13,8,29
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
