scenario_name,termination_condition,days,division_per_day
scen0,optimal,20,3
scen1,infeasible,20,3
scen2,infeasible,20,3
scen3,infeasible,20,3
scen4,infeasible,20,3
scen5,infeasible,20,3
scen6,infeasible,20,3
scen7,optimal,20,3
scen8,optimal,20,3
scen9,infeasible,20,3
scen10,infeasible,20,3
scen11,infeasible,20,3
scen12,infeasible,20,3
scen13,optimal,20,3
scen14,optimal,20,3
scen15,optimal,20,3
scen16,optimal,20,3
scen17,infeasible,20,3
scen18,optimal,20,3
scen19,infeasible,20,3
scen20,optimal,20,3
scen21,optimal,20,3
scen22,infeasible,20,3
scen23,infeasible,20,3
scen24,infeasible,20,3
scen25,optimal,20,3
scen26,infeasible,20,3
scen27,infeasible,20,3
scen28,infeasible,20,3
scen29,optimal,20,3
scen30,infeasible,20,3
scen31,optimal,20,3
scen32,infeasible,20,3
scen33,infeasible,20,3
scen34,optimal,20,3
scen35,infeasible,20,3
scen36,optimal,20,3
scen37,optimal,20,3
scen38,infeasible,20,3
scen39,optimal,20,3
scen40,infeasible,20,3
scen41,infeasible,20,3
scen42,infeasible,20,3
scen43,infeasible,20,3
scen44,infeasible,20,3
scen45,infeasible,20,3
scen46,infeasible,20,3
scen47,infeasible,20,3
scen48,optimal,20,3
scen49,optimal,20,3
scen50,infeasible,20,3
scen51,optimal,20,3
scen52,optimal,20,3
scen53,infeasible,20,3
scen54,infeasible,20,3
scen55,infeasible,20,3
scen56,infeasible,20,3
scen57,infeasible,20,3
scen58,infeasible,20,3
scen59,infeasible,20,3
scen60,infeasible,20,3
scen61,infeasible,20,3
scen62,infeasible,20,3
scen63,optimal,20,3
scen64,infeasible,20,3
scen65,infeasible,20,3
scen66,optimal,20,3
scen67,optimal,20,3
scen68,infeasible,20,3
scen69,infeasible,20,3
scen70,optimal,20,3
scen71,infeasible,20,3
scen72,optimal,20,3
scen73,optimal,20,3
scen74,infeasible,20,3
scen75,optimal,20,3
scen76,optimal,20,3
scen77,optimal,20,3
scen78,infeasible,20,3
scen79,infeasible,20,3
scen80,optimal,20,3
scen81,infeasible,20,3
scen82,infeasible,20,3
scen83,infeasible,20,3
scen84,infeasible,20,3
scen85,infeasible,20,3
scen86,infeasible,20,3
scen87,optimal,20,3
scen88,infeasible,20,3
scen89,infeasible,20,3
scen90,infeasible,20,3
scen91,optimal,20,3
scen92,infeasible,20,3
scen93,optimal,20,3
scen94,infeasible,20,3
scen95,optimal,20,3
scen96,infeasible,20,3
scen97,infeasible,20,3
scen98,optimal,20,3
scen99,infeasible,20,3
