Origin,Destination,Time_Hours
9,9,0.0
9,10,8.376136363636364
9,11,9.217954545454544
9,12,18.057045454545456
9,13,206.41386363636363
10,9,8.376136363636364
10,10,0.0
10,11,15.826136363636364
10,12,24.917727272727276
10,13,206.41386363636363
11,9,9.217954545454544
11,10,15.826136363636364
11,11,0.0
11,12,10.691136363636364
11,13,154.81045454545455
12,9,18.057045454545456
12,10,24.917727272727276
12,11,10.691136363636364
12,12,0.0
12,13,154.81045454545455
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
