dim_1,dim_2,dim_3,value
1,21,4,11055.0
1,21,5,8445.0
2,21,24,8445.0
2,21,25,11055.0
3,21,12,2474.0
3,22,16,3626.0
3,26,14,8296.0
3,26,16,5104.0
4,22,16,9755.0
4,22,17,9745.0
5,22,28,9745.0
5,22,29,9755.0
6,26,16,8296.0
6,26,17,2908.0
6,26,18,8296.0
7,26,3,8296.0
7,26,4,8296.0
7,26,6,2908.0
8,22,16,2908.0
8,26,14,8296.0
8,26,16,8296.0
9,21,13,8445.0
9,21,14,11055.0
10,26,6,8296.0
10,26,7,8296.0
10,26,9,2908.0
11,22,9,8574.0
11,26,12,8296.0
11,26,14,2630.0
12,22,7,9755.0
12,22,8,9745.0
13,26,15,8296.0
13,26,16,8296.0
13,26,18,2908.0
14,26,4,8296.0
14,26,5,2908.0
14,26,6,8296.0
15,21,4,7135.0
15,21,5,2610.0
15,22,6,9755.0
16,21,10,8445.0
16,21,11,11055.0
17,21,22,11055.0
17,21,23,4055.0
17,22,32,4390.0
18,22,12,2908.0
18,26,13,8296.0
18,26,14,8296.0
19,21,13,2610.0
19,21,14,8594.0
19,26,18,8296.0
20,21,8,1748.0
20,21,10,11055.0
20,22,8,6697.0
